street,aprt_level,aprt_living_area,aprt_pricepermether,aprt_prices,aprt_rooms,aprt_total_area,aprt_total_levels,aprt_year
Кримська,3,54,1091.0,120000.0,3,110,16,2002
Новопольова,10,31,1078.0,55000.0,2,51,10,1990
Туполєва,7,30,1091.0,48000.0,2,44,9,1971
No street name,6,44,2582.0,235000.0,2,91,24,2010
Дніпровська,9,17,1464.0,41000.0,1,28,9,1969
Перемоги,10,0,2554.0,143000.0,1,56,11,0
Івана,9,39.7,966.0,65000.0,3,67.3,9,1983
Братиславська,2,45,5000.0,500000.0,3,100,5,1892
No street name,3,50,1146.0,94000.0,3,82,5,0
Червоноткацька,3,0,2295.0,280000.0,3,122,24,2006
Златоустівська,5,19,1500.0,67500.0,1,45,9,2017
Бойченка,0,0,960.0,72000.0,2,75,0,0
Трускавецька,29,0,1588.0,54000.0,1,34,33,0
Каховська,2,30,1609.0,74000.0,2,46,8,0
Лобановського,16,46.7,1300.0,130000.0,2,100,24,2008
No street name,4,60,1111.0,110000.0,3,99,25,2010
Курчатова,3,41,2400.0,180000.0,3,75,8,1990
Голосіївська,21,0,1113.0,69000.0,2,62,25,2018
Тираспольська,12,20,2697.0,205000.0,2,76,23,2014
Лаврська,4,69,1005.0,211000.0,3,210,4,1906
Правди,5,18,1106.0,36500.0,1,33,5,1962
Миколайчука,16,17.96,47556.0,85857.16216216216,1,66.8,26,0
Порика,14,40,2500.0,155000.0,2,62,24,2017
Червоноткацька,13,65.8,1068.0,109000.0,3,102.1,25,2009
Маккейна,3,54,1091.0,120000.0,3,110,16,2002
Йорданська,10,31,1078.0,55000.0,2,51,10,1990
Тютюнника,7,30,1091.0,48000.0,2,44,9,1971
Регенераторна,6,44,2582.0,235000.0,2,91,24,2010
Зарічна,9,17,1464.0,41000.0,1,28,9,1969
Заболотного,10,0,2554.0,143000.0,1,56,11,0
Курнатовського,9,39.7,966.0,65000.0,3,67.3,9,1983
Інститутська,2,45,5000.0,500000.0,3,100,5,1892
Маланюка,3,50,1146.0,94000.0,3,82,5,0
Гречка,3,0,2295.0,280000.0,3,122,24,2006
Липківського,5,19,1500.0,67500.0,1,45,9,2017
Маккейна,0,0,960.0,72000.0,2,75,0,0
Григоренка,29,0,1588.0,54000.0,1,34,33,0
Коновальця,2,30,1609.0,74000.0,2,46,8,0
Закревського,16,46.7,1300.0,130000.0,2,100,24,2008
No street name,4,60,1111.0,110000.0,3,99,25,2010
Старонаводницька,3,41,2400.0,180000.0,3,75,8,1990
Маланюка,21,0,1113.0,69000.0,2,62,25,2018
Заньковецької,6,42,1667.0,120000.0,3,72,6,1994
Кудрявська,7,58,1290.0,150000.0,3,116.3,22,2016
No street name,10,0,4717.0,750000.0,4,159,10,2014
Українки,2,58,987.0,75000.0,3,76,5,1959
No street name,5,27,1120.0,53000.0,1,47.32,16,1990
Милославська,2,30,966.0,42500.0,2,44,5,1962
Донця,2,45,1084.0,103000.0,3,95,13,2017
Верховинця,23,180,2708.0,650000.0,5,240,23,2013
Героїв,2,21,1556.0,56000.0,1,36,15,0
Каховська,7,0,1800.0,90000.0,1,50,25,1969
Каховська,11,32,1085.0,77000.0,2,71,16,0
Вишняківська,4,16,1901.0,115000.0,2,60.51,5,2020
Липська,6,42,1488.0,120000.0,2,80.66,22,0
Сверстюка,9,75,1057.0,130000.0,3,123,27,2004
Драгомирова,4,29.5,1149.0,85000.0,2,74,22,2008
Причальна,18,31,1728.0,140000.0,2,81,25,2018
Болсуновська,5,18,1058.0,45500.0,1,43,25,2013
Повітрофлотський,3,40,753.0,63232.0,3,84,18,0
Драгоманова,3,0,2065.0,95000.0,2,46,24,2017
Григоренка,5,18,1000.0,55000.0,1,55,24,2020
Дніпровська,23,80,1374.0,186900.0,3,136,25,2011
Жабаєва,3,15,1605.0,34200.0,1,21.31,28,0
Філатова,8,50,1727.0,234899.0,3,136,9,2018
Правди,9,0,1341.0,55000.0,1,41,25,2019
Малопідвальна,3,33.1,1915.0,136000.0,2,71,10,2019
Бойчука,3,20,2439.0,139000.0,2,57,6,1957
Зарічна,7,87,1409.0,210000.0,3,149,12,2001
Предславинська,5,17,3900.0,195000.0,1,50,16,2017
Івана,3,46,1587.0,119000.0,3,75,25,2018
